#R0    Rn    Rmax
0.00011399999999999998    0.00012399999999999998    0.000134079
0.00011599999999999997    0.00012399999999999998    0.00013201
0.00011799999999999997    0.00012399999999999998    0.000129969
0.00011999999999999998    0.00012399999999999998    0.000127954
0.00012199999999999997    0.00012399999999999998    0.000125964
1e-05    0.00012599999999999997    0.000351094
1.2e-05    0.00012599999999999997    0.000343819
1.4e-05    0.00012599999999999997    0.000336399
1.6e-05    0.00012599999999999997    0.000328942
1.7999999999999997e-05    0.00012599999999999997    0.00032151
1.9999999999999998e-05    0.00012599999999999997    0.00031416
2.2e-05    0.00012599999999999997    0.000306932
2.3999999999999997e-05    0.00012599999999999997    0.000299908
2.5999999999999995e-05    0.00012599999999999997    0.00029308
2.7999999999999996e-05    0.00012599999999999997    0.00028649
2.9999999999999997e-05    0.00012599999999999997    0.000280147
3.199999999999999e-05    0.00012599999999999997    0.000274044
3.399999999999999e-05    0.00012599999999999997    0.000268212
3.5999999999999994e-05    0.00012599999999999997    0.000262612
3.7999999999999995e-05    0.00012599999999999997    0.000257244
3.999999999999999e-05    0.00012599999999999997    0.000252093
4.199999999999999e-05    0.00012599999999999997    0.000247154
4.399999999999999e-05    0.00012599999999999997    0.000242402
4.599999999999999e-05    0.00012599999999999997    0.000237842
4.799999999999999e-05    0.00012599999999999997    0.000233448
4.999999999999999e-05    0.00012599999999999997    0.000229211
5.199999999999999e-05    0.00012599999999999997    0.000225124
5.3999999999999984e-05    0.00012599999999999997    0.000221173
5.5999999999999986e-05    0.00012599999999999997    0.000217345
5.799999999999999e-05    0.00012599999999999997    0.000213646
5.999999999999999e-05    0.00012599999999999997    0.000210057
6.199999999999999e-05    0.00012599999999999997    0.000206568
6.399999999999998e-05    0.00012599999999999997    0.000203182
6.599999999999999e-05    0.00012599999999999997    0.000199886
6.799999999999999e-05    0.00012599999999999997    0.000196676
6.999999999999998e-05    0.00012599999999999997    0.000193542
7.199999999999999e-05    0.00012599999999999997    0.000190488
7.399999999999998e-05    0.00012599999999999997    0.000187503
7.599999999999998e-05    0.00012599999999999997    0.000184583
7.799999999999999e-05    0.00012599999999999997    0.000181728
7.999999999999998e-05    0.00012599999999999997    0.000178937
8.199999999999999e-05    0.00012599999999999997    0.000176198
8.399999999999998e-05    0.00012599999999999997    0.00017351
8.599999999999998e-05    0.00012599999999999997    0.000170874
8.799999999999998e-05    0.00012599999999999997    0.000168289
8.999999999999998e-05    0.00012599999999999997    0.000165747
9.199999999999997e-05    0.00012599999999999997    0.000163249
9.399999999999998e-05    0.00012599999999999997    0.000160791
9.599999999999998e-05    0.00012599999999999997    0.000158375
9.799999999999997e-05    0.00012599999999999997    0.000155995
9.999999999999998e-05    0.00012599999999999997    0.000153654
0.00010199999999999997    0.00012599999999999997    0.000151344
0.00010399999999999998    0.00012599999999999997    0.000149071
0.00010599999999999997    0.00012599999999999997    0.000146829
0.00010799999999999997    0.00012599999999999997    0.000144619
0.00010999999999999998    0.00012599999999999997    0.000142441
0.00011199999999999997    0.00012599999999999997    0.000140289
0.00011399999999999998    0.00012599999999999997    0.000138168
0.00011599999999999997    0.00012599999999999997    0.000136074
0.00011799999999999997    0.00012599999999999997    0.000134008
0.00011999999999999998    0.00012599999999999997    0.000131967
0.00012199999999999997    0.00012599999999999997    0.000129953
0.00012399999999999998    0.00012599999999999997    0.000127964
1e-05    0.00012799999999999997    0.000357237
1.2e-05    0.00012799999999999997    0.000349983
1.4e-05    0.00012799999999999997    0.000342574
1.6e-05    0.00012799999999999997    0.000335116
1.7999999999999997e-05    0.00012799999999999997    0.000327677
1.9999999999999998e-05    0.00012799999999999997    0.000320313
2.2e-05    0.00012799999999999997    0.000313063
2.3999999999999997e-05    0.00012799999999999997    0.000305991
2.5999999999999995e-05    0.00012799999999999997    0.000299127
2.7999999999999996e-05    0.00012799999999999997    0.000292486
2.9999999999999997e-05    0.00012799999999999997    0.000286084
3.199999999999999e-05    0.00012799999999999997    0.000279932
3.399999999999999e-05    0.00012799999999999997    0.000274023
3.5999999999999994e-05    0.00012799999999999997    0.000268362
3.7999999999999995e-05    0.00012799999999999997    0.000262921
3.999999999999999e-05    0.00012799999999999997    0.000257707
4.199999999999999e-05    0.00012799999999999997    0.000252706
4.399999999999999e-05    0.00012799999999999997    0.000247894
4.599999999999999e-05    0.00012799999999999997    0.000243266
4.799999999999999e-05    0.00012799999999999997    0.000238811
4.999999999999999e-05    0.00012799999999999997    0.000234513
5.199999999999999e-05    0.00012799999999999997    0.000230363
5.3999999999999984e-05    0.00012799999999999997    0.000226362
5.5999999999999986e-05    0.00012799999999999997    0.000222483
5.799999999999999e-05    0.00012799999999999997    0.000218733
5.999999999999999e-05    0.00012799999999999997    0.000215086
6.199999999999999e-05    0.00012799999999999997    0.000211557
6.399999999999998e-05    0.00012799999999999997    0.000208122
6.599999999999999e-05    0.00012799999999999997    0.000204779
6.799999999999999e-05    0.00012799999999999997    0.000201523
6.999999999999998e-05    0.00012799999999999997    0.000198347
7.199999999999999e-05    0.00012799999999999997    0.000195253
7.399999999999998e-05    0.00012799999999999997    0.000192228
7.599999999999998e-05    0.00012799999999999997    0.000189272
7.799999999999999e-05    0.00012799999999999997    0.000186377
7.999999999999998e-05    0.00012799999999999997    0.000183547
8.199999999999999e-05    0.00012799999999999997    0.000180773
8.399999999999998e-05    0.00012799999999999997    0.000178053
8.599999999999998e-05    0.00012799999999999997    0.000175384
8.799999999999998e-05    0.00012799999999999997    0.000172764
8.999999999999998e-05    0.00012799999999999997    0.000170189
9.199999999999997e-05    0.00012799999999999997    0.000167659
9.399999999999998e-05    0.00012799999999999997    0.000165175
9.599999999999998e-05    0.00012799999999999997    0.000162728
