# the cases were examined with get_Tc.py
#case             offset_x   D_init   Rn     Rmax    alpha_r   Dstar   time_minvol
3D_run141_alphar5.0_dstar0.9   0.0015   0.00045   0.000182     0.0004931484    5.06946793298   0.912504227936  0.00010244356
3D_run141_alphar5.0_dstar1.1   0.0015   0.00055   0.000182     0.0004931484    5.06946793298   1.11528294526  9.9536422e-05
3D_run141_alphar5.0_dstar1.3   0.0015   0.00065   0.000182     0.0004931484    5.06946793298   1.31806166257  9.7227164e-05
3D_run141_alphar5.0_dstar1.5   0.0015   0.00075   0.000182     0.0004931484    5.06946793298   1.52084037989  9.5506669e-05
3D_run141_alphar5.0_dstar1.65   0.0015   0.000825   0.000182     0.0004931484    5.06946793298   1.67292441788  9.4768723e-05
3D_run141_alphar5.0_dstar1.8   0.0015   0.0009   0.000182     0.0004931484    5.06946793298   1.82500845587  9.3821428e-05
3D_run141_alphar5.0_dstar2.0   0.0015   0.001   0.000182     0.0004931484    5.06946793298   2.02778717319  9.2980032e-05
3D_run141_alphar5.0_dstar2.15   0.0015   0.001075   0.000182     0.0004931484    5.06946793298   2.17987121118  9.2421289e-05
3D_run141_alphar5.0_dstar2.3   0.0015   0.00115   0.000182     0.0004931484    5.06946793298   2.33195524917  9.1985935e-05
#3D_run141_alphar5.0_dstar2.5   0.0015   0.00125   0.000182     0.0004931484    5.06946793298   2.53473396649  9.1640492e-05
3D_run141_alphar5.75_dstar0.3   0.001125   0.00015   0.000182     0.0004931484    5.82988812293   0.304168075979  0.00010522097
3D_run141_alphar5.75_dstar0.5   0.001125   0.00025   0.000182     0.0004931484    5.82988812293   0.506946793298  0.00010510385
3D_run141_alphar5.75_dstar0.7   0.001125   0.00035   0.000182     0.0004931484    5.82988812293   0.709725510617  0.00010460585
3D_run141_alphar5.75_dstar0.9   0.001125   0.00045   0.000182     0.0004931484    5.82988812293   0.912504227936  0.0001025626
3D_run141_alphar5.75_dstar1.1   0.001125   0.00055   0.000182     0.0004931484    5.82988812293   1.11528294526  9.9632345e-05
3D_run141_alphar5.75_dstar1.3   0.001125   0.00065   0.000182     0.0004931484    5.82988812293   1.31806166257  9.7363086e-05
3D_run141_alphar5.75_dstar1.5   0.001125   0.00075   0.000182     0.0004931484    5.82988812293   1.52084037989  9.5635368e-05
3D_run141_alphar5.75_dstar1.65   0.001125   0.000825   0.000182     0.0004931484    5.82988812293   1.67292441788  9.4916494e-05
3D_run141_alphar5.75_dstar1.8   0.001125   0.0009   0.000182     0.0004931484    5.82988812293   1.82500845587  9.3954337e-05
3D_run141_alphar5.75_dstar2.0   0.001125   0.001   0.000182     0.0004931484    5.82988812293   2.02778717319  9.3118896e-05
3D_run141_alphar5.75_dstar2.15   0.001125   0.001075   0.000182     0.0004931484    5.82988812293   2.17987121118  9.2545573e-05
3D_run141_alphar5.75_dstar2.3   0.001125   0.00115   0.000182     0.0004931484    5.82988812293   2.33195524917  9.2103881e-05
#3D_run141_alphar5.75_dstar2.5   0.001125   0.00125   0.000182     0.0004931484    5.82988812293   2.53473396649  9.1770366e-05
3D_run141_alphar6.5_dstar0.3   0.00075   0.00015   0.000182     0.0004931484    6.59030831287   0.304168075979  0.00010527151
3D_run141_alphar6.5_dstar0.4   0.00075   0.0002   0.000182     0.0004931484    6.59030831287   0.405557434638  0.00010518956
3D_run141_alphar6.5_dstar0.5   0.00075   0.00025   0.000182     0.0004931484    6.59030831287   0.506946793298  0.00010515149
3D_run141_alphar6.5_dstar0.6   0.00075   0.0003   0.000182     0.0004931484    6.59030831287   0.608336151958  0.00010519318
3D_run141_alphar6.5_dstar0.7   0.00075   0.00035   0.000182     0.0004931484    6.59030831287   0.709725510617  0.00010465991
3D_run141_alphar6.5_dstar0.8   0.00075   0.0004   0.000182     0.0004931484    6.59030831287   0.811114869277  0.00010403979
3D_run141_alphar6.5_dstar0.9   0.00075   0.00045   0.000182     0.0004931484    6.59030831287   0.912504227936  0.00010262365
3D_run141_alphar6.5_dstar1.1   0.00075   0.00055   0.000182     0.0004931484    6.59030831287   1.11528294526  9.9687944e-05
3D_run141_alphar6.5_dstar1.3   0.00075   0.00065   0.000182     0.0004931484    6.59030831287   1.31806166257  9.7409164e-05
3D_run141_alphar6.5_dstar1.5   0.00075   0.00075   0.000182     0.0004931484    6.59030831287   1.52084037989  9.5694995e-05
3D_run141_alphar6.5_dstar1.65   0.00075   0.000825   0.000182     0.0004931484    6.59030831287   1.67292441788  9.4994031e-05
3D_run141_alphar6.5_dstar1.8   0.00075   0.0009   0.000182     0.0004931484    6.59030831287   1.82500845587  9.4007129e-05
3D_run141_alphar6.5_dstar2.0   0.00075   0.001   0.000182     0.0004931484    6.59030831287   2.02778717319  9.3176521e-05
3D_run141_alphar6.5_dstar2.15   0.00075   0.001075   0.000182     0.0004931484    6.59030831287   2.17987121118  9.2588941e-05
3D_run141_alphar6.5_dstar2.3   0.00075   0.00115   0.000182     0.0004931484    6.59030831287   2.33195524917  9.2168151e-05
#3D_run141_alphar6.5_dstar2.5   0.00075   0.00125   0.000182     0.0004931484    6.59030831287   2.53473396649  9.1832e-05
3D_run141_alphar7.25_dstar0.3   0.000375   0.00015   0.000182     0.0004931484    7.35072850282   0.304168075979  0.0001053134
3D_run141_alphar7.25_dstar0.5   0.000375   0.00025   0.000182     0.0004931484    7.35072850282   0.506946793298  0.00010521747
3D_run141_alphar7.25_dstar0.7   0.000375   0.00035   0.000182     0.0004931484    7.35072850282   0.709725510617  0.00010469828
3D_run141_alphar7.25_dstar0.9   0.000375   0.00045   0.000182     0.0004931484    7.35072850282   0.912504227936  0.00010267845
3D_run141_alphar7.25_dstar1.1   0.000375   0.00055   0.000182     0.0004931484    7.35072850282   1.11528294526  9.9742807e-05
3D_run141_alphar7.25_dstar1.3   0.000375   0.00065   0.000182     0.0004931484    7.35072850282   1.31806166257  9.7460499e-05
3D_run141_alphar7.25_dstar1.5   0.000375   0.00075   0.000182     0.0004931484    7.35072850282   1.52084037989  9.5747508e-05
3D_run141_alphar7.25_dstar1.65   0.000375   0.000825   0.000182     0.0004931484    7.35072850282   1.67292441788  9.5036223e-05
3D_run141_alphar7.25_dstar1.8   0.000375   0.0009   0.000182     0.0004931484    7.35072850282   1.82500845587  9.4057408e-05
3D_run141_alphar7.25_dstar2.0   0.000375   0.001   0.000182     0.0004931484    7.35072850282   2.02778717319  9.3228305e-05
3D_run141_alphar7.25_dstar2.15   0.000375   0.001075   0.000182     0.0004931484    7.35072850282   2.17987121118  9.265843e-05
3D_run141_alphar7.25_dstar2.3   0.000375   0.00115   0.000182     0.0004931484    7.35072850282   2.33195524917  9.2215322e-05
#3D_run141_alphar7.25_dstar2.5   0.000375   0.00125   0.000182     0.0004931484    7.35072850282   2.53473396649  9.1883858e-05
3D_run141_alphar8.0_dstar0.3   0.0   0.00015   0.000182     0.0004931484    8.11114869277   0.304168075979  0.00010529191
3D_run141_alphar8.0_dstar0.4   0.0   0.0002   0.000182     0.0004931484    8.11114869277   0.405557434638  0.00010524775
3D_run141_alphar8.0_dstar0.5   0.0   0.00025   0.000182     0.0004931484    8.11114869277   0.506946793298  0.00010522861
