#patm    pac   Rmax
14000.0    28000000.0   0.000971687
14000.0    30000000.0   0.00102963
14000.0    32000000.0   0.00108696
14000.0    34000000.0   0.00114348
14000.0    36000000.0   0.00119947
14000.0    38000000.0   0.00125494
14000.0    40000000.0   0.0013099
14000.0    42000000.0   0.00136433
14000.0    44000000.0   0.00141833
14000.0    46000000.0   0.00147188
14000.0    48000000.0   0.00152499
14000.0    50000000.0   0.00157785
14000.0    52000000.0   0.0016302
14000.0    54000000.0   0.0016822
14000.0    56000000.0   0.00173382
14000.0    58000000.0   0.001785
14000.0    60000000.0   0.00183605
14000.0    62000000.0   0.00188684
14000.0    64000000.0   0.00193722
14000.0    66000000.0   0.00198715
14000.0    68000000.0   0.00203717
14000.0    70000000.0   0.00208671
14000.0    72000000.0   0.00213602
14000.0    74000000.0   0.00218488
14000.0    76000000.0   0.00223388
14000.0    78000000.0   0.0022823
14000.0    80000000.0   0.00233062
14000.0    82000000.0   0.00237894
14000.0    84000000.0   0.00242678
14000.0    86000000.0   0.00247447
14000.0    88000000.0   0.00252185
14000.0    90000000.0   0.00256912
14000.0    92000000.0   0.00261642
14000.0    94000000.0   0.00266307
14000.0    96000000.0   0.00270995
14000.0    98000000.0   0.00275654

16000.0    2000000.0   8.45337e-05
16000.0    4000000.0   0.000169676
16000.0    6000000.0   0.000245496
16000.0    8000000.0   0.000316515
16000.0    10000000.0   0.000384297
16000.0    12000000.0   0.000449656
16000.0    14000000.0   0.000513076
16000.0    16000000.0   0.000574879
16000.0    18000000.0   0.000635314
16000.0    20000000.0   0.00069456
16000.0    22000000.0   0.000752803
16000.0    24000000.0   0.000810089
16000.0    26000000.0   0.000866481
16000.0    28000000.0   0.000922183
16000.0    30000000.0   0.000977103
16000.0    32000000.0   0.00103135
16000.0    34000000.0   0.00108512
16000.0    36000000.0   0.00113829
16000.0    38000000.0   0.00119091
16000.0    40000000.0   0.001243
16000.0    42000000.0   0.00129464
16000.0    44000000.0   0.00134591
16000.0    46000000.0   0.00139671
16000.0    48000000.0   0.00144711
16000.0    50000000.0   0.00149715
16000.0    52000000.0   0.00154677
16000.0    54000000.0   0.00159612
16000.0    56000000.0   0.00164509
16000.0    58000000.0   0.00169378
16000.0    60000000.0   0.00174219
16000.0    62000000.0   0.00179026
16000.0    64000000.0   0.00183793
16000.0    66000000.0   0.00188555
16000.0    68000000.0   0.00193272
16000.0    70000000.0   0.00197988
16000.0    72000000.0   0.00202665
16000.0    74000000.0   0.00207318
16000.0    76000000.0   0.00211944
16000.0    78000000.0   0.00216551
16000.0    80000000.0   0.00221138
16000.0    82000000.0   0.00225686
16000.0    84000000.0   0.00230249
16000.0    86000000.0   0.00234774
16000.0    88000000.0   0.00239279
16000.0    90000000.0   0.00243769
16000.0    92000000.0   0.00248214
16000.0    94000000.0   0.0025268
16000.0    96000000.0   0.0025711
16000.0    98000000.0   0.00261526

18000.0    2000000.0   8.06828e-05
18000.0    4000000.0   0.000162156
18000.0    6000000.0   0.00023463
18000.0    8000000.0   0.000302537
18000.0    10000000.0   0.000367311
18000.0    12000000.0   0.000429779
18000.0    14000000.0   0.000490379
18000.0    16000000.0   0.000549449
18000.0    18000000.0   0.000607217
18000.0    20000000.0   0.000663797
18000.0    22000000.0   0.000719469
18000.0    24000000.0   0.000774202
18000.0    26000000.0   0.000828107
18000.0    28000000.0   0.000881315
18000.0    30000000.0   0.000933827
18000.0    32000000.0   0.000985731
18000.0    34000000.0   0.00103701
18000.0    36000000.0   0.00108782
18000.0    38000000.0   0.00113803
18000.0    40000000.0   0.00118789
18000.0    42000000.0   0.00123719
18000.0    44000000.0   0.00128621
18000.0    46000000.0   0.00133475
18000.0    48000000.0   0.00138291
18000.0    50000000.0   0.00143072
18000.0    52000000.0   0.00147815
18000.0    54000000.0   0.00152528
18000.0    56000000.0   0.00157212
18000.0    58000000.0   0.00161864
18000.0    60000000.0   0.00166474
18000.0    62000000.0   0.00171079
18000.0    64000000.0   0.00175638
18000.0    66000000.0   0.00180186
18000.0    68000000.0   0.00184704
18000.0    70000000.0   0.0018919
18000.0    72000000.0   0.00193661
18000.0    74000000.0   0.00198113
18000.0    76000000.0   0.00202538
18000.0    78000000.0   0.00206941
18000.0    80000000.0   0.00211316
18000.0    82000000.0   0.00215684
18000.0    84000000.0   0.00220021
18000.0    86000000.0   0.00224351
18000.0    88000000.0   0.00228643
18000.0    90000000.0   0.00232942
18000.0    92000000.0   0.00237211
18000.0    94000000.0   0.00241461
18000.0    96000000.0   0.00245698
18000.0    98000000.0   0.00249918

20000.0    2000000.0   7.73626e-05
20000.0    4000000.0   0.000155733
20000.0    6000000.0   0.00022542
20000.0    8000000.0   0.00029068
20000.0    10000000.0   0.000352937
20000.0    12000000.0   0.000412961
20000.0    14000000.0   0.000471195
20000.0    16000000.0   0.000527952
20000.0    18000000.0   0.000583426
20000.0    20000000.0   0.00063782
20000.0    22000000.0   0.000691304
20000.0    24000000.0   0.000743896
20000.0    26000000.0   0.000795683
20000.0    28000000.0   0.00084675
20000.0    30000000.0   0.000897269
20000.0    32000000.0   0.000947083
20000.0    34000000.0   0.000996435
20000.0    36000000.0   0.00104523
20000.0    38000000.0   0.00109348
20000.0    40000000.0   0.00114138
20000.0    42000000.0   0.00118881
20000.0    44000000.0   0.00123583
20000.0    46000000.0   0.00128247
20000.0    48000000.0   0.00132863
20000.0    50000000.0   0.00137467
20000.0    52000000.0   0.00142018
20000.0    54000000.0   0.00146552
20000.0    56000000.0   0.00151041
20000.0    58000000.0   0.00155513
20000.0    60000000.0   0.00159962
20000.0    62000000.0   0.00164374
20000.0    64000000.0   0.00168761
