# the cases were examined from time 10e-6 to 1.0
#case             offset_x   D_init   Rn     Rmax    alpha_r   Dstar   time_of_maxU_liq    max_U_liq
3D_run141_alphar3.6_dstar0.3   0.0022   0.00015   0.000182     0.0004931484    3.65001691175   0.304168075979  0.0001023160397      42.228735
3D_run141_alphar3.6_dstar0.4   0.0022   0.0002   0.000182     0.0004931484    3.65001691175   0.405557434638  9.873295042e-05      52.048451
3D_run141_alphar3.6_dstar0.5   0.0022   0.00025   0.000182     0.0004931484    3.65001691175   0.506946793298  9.681716185e-05      63.751353
3D_run141_alphar3.6_dstar0.6   0.0022   0.0003   0.000182     0.0004931484    3.65001691175   0.608336151958  9.54098866e-05      73.401826
3D_run141_alphar3.6_dstar0.7   0.0022   0.00035   0.000182     0.0004931484    3.65001691175   0.709725510617  9.481985919e-05      81.434327
3D_run141_alphar3.6_dstar0.8   0.0022   0.0004   0.000182     0.0004931484    3.65001691175   0.811114869277  9.425646543e-05      86.066752
3D_run141_alphar3.6_dstar0.9   0.0022   0.00045   0.000182     0.0004931484    3.65001691175   0.912504227936  9.404666997e-05      90.914728
3D_run141_alphar3.6_dstar1.1   0.0022   0.00055   0.000182     0.0004931484    3.65001691175   1.11528294526  9.347969702e-05      99.136818
3D_run141_alphar3.6_dstar1.3   0.0022   0.00065   0.000182     0.0004931484    3.65001691175   1.31806166257  9.345476184e-05      109.78986
3D_run141_alphar3.6_dstar1.5   0.0022   0.00075   0.000182     0.0004931484    3.65001691175   1.52084037989  9.299766694e-05      122.58391
3D_run141_alphar3.6_dstar1.65   0.0022   0.000825   0.000182     0.0004931484    3.65001691175   1.67292441788  9.268480566e-05      130.65456
3D_run141_alphar3.6_dstar1.8   0.0022   0.0009   0.000182     0.0004931484    3.65001691175   1.82500845587  9.287414051e-05      149.3037
3D_run141_alphar3.6_dstar2.0   0.0022   0.001   0.000182     0.0004931484    3.65001691175   2.02778717319  9.236288199e-05      184.20325
3D_run141_alphar3.6_dstar2.15   0.0022   0.001075   0.000182     0.0004931484    3.65001691175   2.17987121118  9.19106926e-05      223.78227
3D_run141_alphar3.6_dstar2.3   0.0022   0.00115   0.000182     0.0004931484    3.65001691175   2.33195524917  9.144026123e-05      230.66078

3D_run141_alphar4.3_dstar0.3   0.00185   0.00015   0.000182     0.0004931484    4.35974242236   0.304168075979  0.0001024456808      41.739119
3D_run141_alphar4.3_dstar0.5   0.00185   0.00025   0.000182     0.0004931484    4.35974242236   0.506946793298  9.691956791e-05      62.780301
3D_run141_alphar4.3_dstar0.7   0.00185   0.00035   0.000182     0.0004931484    4.35974242236   0.709725510617  9.500153839e-05      80.25978
3D_run141_alphar4.3_dstar0.9   0.00185   0.00045   0.000182     0.0004931484    4.35974242236   0.912504227936  9.433164633e-05      90.17941
3D_run141_alphar4.3_dstar1.1   0.00185   0.00055   0.000182     0.0004931484    4.35974242236   1.11528294526  9.408480277e-05      97.761201
3D_run141_alphar4.3_dstar1.3   0.00185   0.00065   0.000182     0.0004931484    4.35974242236   1.31806166257  9.525457937e-05      106.05445
3D_run141_alphar4.3_dstar1.5   0.00185   0.00075   0.000182     0.0004931484    4.35974242236   1.52084037989  9.311833767e-05      120.13909
3D_run141_alphar4.3_dstar1.65   0.00185   0.000825   0.000182     0.0004931484    4.35974242236   1.67292441788  9.291018953e-05      127.73257
3D_run141_alphar4.3_dstar1.8   0.00185   0.0009   0.000182     0.0004931484    4.35974242236   1.82500845587  9.26514547e-05      145.00496
